"row_id"	"generated_summary"
"425"	"– Two days after the mass shooting at a Pittsburgh synagogue, a Republican candidate for a state Senate seat in Connecticut sent out a mailer that's being called anti-Semitic, the Washington Post reports. According to the Hartford Courant, the mailer shows Democratic state Rep. Matt Lesser ""with large, beady eyes, holding fistfuls of hundred-dollar bills."" On the other side, it reads, ""Matt Lesser will take everything you worked for."" The mailer was sent out by GOP candidate Ed Charamut. Lesser says he was shocked when he first saw it. “It uses imagery that’s been used to vilify the Jewish people for hundreds of years, and grossly caricatured my face and has me clutching a pile of money,” he tells the Courant. ""That's as explicitly anti-Semitism as anything can be.” Lesser's Jewish campaign treasurer, Allan Greenspan, says the image of Lesser was altered to make him look ""bigger and greedy."" Greenspan says the money was also added to the picture. The Anti-Defamation League calls it an ""age-oldAnti-Semitic trope."" And state Republican Party Chair JR Romano calls it ""false outrage."" Lesser blames President Trump for allowing ""racist, homophobes, and anti-Semites to drop their dog whistles and express their bigotry clearly and openly."" He says he's ""shaking my head as to the lengths some people will go to get elected or to stay in office, particularly in the present climate."""
"1639"	"– Six Greenpeace activists have scaled the 87-story ""Sh Shard"" skyscraper in London to protest Shell's plans to drill in the Arctic, the BBC reports. The Shard is western Europe's tallest building, at 1,016 feet, and it's in sight of the three London bases of Shell, which is involved in Arctic drilling. The climbers, all women, were live-streaming the event from the top of the skyscraper using their helmets. ""It is an honor to stand here at the foot of Europe's highest building and witness this remarkable achievement by these women,"" Greenpeace UK's executive director said in a statement. ""And I'm not the only one watching this today—the executives ofShell, whose offices are all around this building, simply won't be able to ignore what we have done."" The Shard was completed last year, and a spokesman for the building says it's ""being used by protesters as part of a campaign,"" the Guardian reports. ""We are working with the relevant authorities to try to ensure the safety of those concerned."""
"1739"	"– Police in Mountain View, Calif., have arrested a 41-year-old man accused of knocking over a 300-pound security robot in a parking lot, ABC7 reports. According to CNET, Jason Sylvain was arrested for prowling and public intoxication after allegedly knocking over the Knightscope K5 security robot last Thursday. The 5-foot-tall robot can read 300 license plates per minute and provides 360-degree video streaming. It's also not armed. ""The robot did exactly as it was supposed to do—the 'assault' was detected and immediately reported. The alarms on the robot sounded, the suspect attempted to flee the scene and was detained by one of my colleagues and me until the Mountain View Police arrived,"" Knightscope VP of marketing and sales Stacy Dean Stephens tells CNET. Stephens says the robot suffered only scratches and is now back on patrol. Police say Sylvain ""appeared confused, had red, glassy eyes, and a strong odor of alcohol emitted from him,"" according to a police spokesperson. Knightscope says it's a testament to the technology that police caught the aggressor and arrested him. One local resident tells ABC7 he would've arrested Sylvain or given him a ticket for attacking the robot. Another resident says the incident shows ""how spineless the drunk guys in Silicon Valley really are because they attack a victim who doesn't even have any arms."" Knightscope is the company behind the robot that ran over a toddler's foot at a Stanford shopping center last year."
"1952"	"– The San Andreas Fault is overdue for a major earthquake, according to a new study. Researchers studying a 100-mile stretch of the fault near Los Angeles say it's been 160 years since the last major quake along the fault, which runs from the Antelope Valley to the Tejon Pass, reports the Los Angeles Times. The study found that there have been 10 major quakes in the area over the past 1,200 years, most of them magnitude 7.5 or greater. ""The stress is building up along the San Andreas and a large earthquake is inevitable,"" USGS geophysicist Robert Graves tells KABC-TV. ""Large, but less damaging earthquakes"" are more typical along that stretch of fault, he says. Researchers say the study should not be seen as a reason to panic, but as a warning to people to be prepared. ""This is not a time to panic,"" Graves tells the Times. ""It's not time to freak out."" He says that if there was a major quake, it would be enough to shut off power to Los Angeles, cut supplies to the area, and ""make it difficult to get power to LA, get supplies in and out of Interstate 5, for example."" The study, published in the Geophysical Research Letters journal, focused on an area of the Fault that hadn't been studied in detail before, the New York Times reports. The researchers found that the area had been hit by several earthquakes between the late 1800s and early 1900s, but none of them were as powerful as those that hit the area in recent years."
"2082"	"– Kellogg has become the latest American company to leave Venezuela, and President Nicolas Maduro says his government has seized the company's factory in Maracay, the BBC reports. ""I've decided to hand the company over to the workers so that they can continue producing for the people,"" Maduro said at a campaign rally Monday. ""We've begun judicial proceedings against the business leaders of Kellogg's because their exit is unconstitutional,"" he added, per Reuters. Kellogg announced Tuesday it was closing the factory, which employed 400 workers, citing the ""deterioration"" of the country's economy, the Wall Street Journal reports. The company said it had written down the value of its Venezuela holdings and would like to return to the country in the future. ""If the Venezuelan government takes control of Kimberly-Clark facilities and operations, it will be responsible for the well-being of the workers and the physical asset, equipment, and machinery in the facilities going forward,"" the company said in a statement."
"2847"	"– Sudanese President Omar al-Bashir left South Africa on Monday despite a judge's order that he be arrested on charges of war crimes, crimes against humanity, and genocide, Reuters reports. The judge ordered all ports in the country to keep al-bashir from leaving, but lawyers arguing for his arrest warned in advance that would not be the case, CNN reports. Sudan's State Minister for Information told Reuters that Bashir had flown home and was expected to land in the Sudanese capital of Khartoum at around 6:30pm local time. The International Criminal Court issued an arrest warrant for Bashir in 2009 and another in 2010, NBC News reports. He has evaded arrest for years and was facing the toughest challenge to his freedom yet in South Africa, where he was attending an African Union summit when a judge barred him from leaving the country pending a hearing on whether to hand him over to the ICC. The decision to let Bashir leave represented an affirmation of shifting diplomatic priorities for the government, with African interests trumping those of the West. It also represented a blow for the Hague-based ICC, which has convicted just two minor African warlords since it started work in 2002 and has struggled to create accountability for those who are too powerful to be tried at home."
"3003"	"– For the second year in a row, Coca Cola ran a Super Bowl ad on TV and online at the same time. This year, the company's ""Coke Chase"" campaign involved three teams—Cowboys, Vegas Show Girls, and Mad Max types—competing in a race to get a giant bottle of Coke. Viewers could vote for their favorite team or ""sabotage"" them by throwing obstacles in their way, Mashable reports. Since the company unveiled the campaign on Jan. 22, 1.3 million people visited the CokeChase.com website, according to a Coke rep. Coke received 910,000 votes for the campaign and 7,3 million sabotages. While the engagement numbers per visitor seem strong, it appears fewer people took part in the online campaign than the previous year. For the 2012 Super Bowl, Coke ran a live feed during the game showing the company’s famous polar bears watching and reacting to the game. Coke later revealed that some 9 million people had checked-in across various platforms to see the polar bears. Part of the problem, as Mashable reported Sunday night, was that the voting and video features stopped working for many users while the game was going on. But it appears the 60-second spot for Coke Chase was significantly more popular than the videos for polar bear campaign in 2012. Coke says this year's 60- seconds spot has been viewed more than 2.5 million times, while the Polar Bowl spots were viewed 1.7 million times collectively."
"4558"	"– San Francisco's 58-story Millennium Tower has sunk 17 inches since construction began in 2005, and it's also tilting 14 inches to the northwest, the San Francisco Chronicle reports. According to CBS News, the tower opened in 2009 as the tallest residential building west of the Mississippi. Since then, some residents say they've lost up to $3 million selling their condos. The tower is currently the subject of numerous lawsuits from residents, who blame the adjacent Transbay Transit Center for failing to ""protect existing structures from excessive ground movements during construction."" But the tower had already sunk 10 inches by the time construction on the transit center began in 2010. Now, a new report shows the tower has sunk yet another inch in the past seven months. A pair of engineering firms hired by developer Millennium Partners and other parties involved in the dispute think they have a solution that will stabilize the tower and prop it back upright. The firms estimate the fix will cost $100 million to $150 million—more than your average home foundation repair, but a lot less than the billion-dollar-plus price tag that some experts have feared. Some residents have already sold their units. ""We don't know if this building's going to stand up in an earthquake,"" says Frank Jernigan. ""And so I became severely frightened of that."" Jerry Dodson, an engineer and lawyer, says he makes daily rounds of the basement looking for signs of deterioration. ""There's enough of them, a spider web of cracks, that you have to be concerned about what's going on underneath,"" he tells 60 Minutes."
"4679"	"– The founder of Pakistan's nuclear weapons program claims that in the late 1990s North Korean officials paid kickbacks to senior Pakistani military figures in exchange for critical weapons technology. Abdul Qadeer Khan has given a US-based expert documents that appear to show North Korea's government paid more than $3.5 million to two Pakistani military officials as part of the deal, the expert tells the AP. To back up his claim, Khan released what he said was a copy of a North Korean official's 1998 letter to him, written in English, that purports to describe the secret deal. Khan gave the documents to Simon Henderson of the Washington Institute for Near East Policy, an authority on Pakistan's weapons program. He did so because he has been accused by his government of running a covert nuclear smuggling operation without official knowledge or consent. Henderson says the documents prove Khan's claims that his nuclear arms smuggling network had high-level support from the Pakistani government, but others say the letter bolsters the government's claims it didn't know what Khan was up to. Pakistani officials, including those named as recipients of the cash, have called the letter a fake. Khan has been freed from home detention but remains under round-the-clock surveillance in a suburb of Islamabad, where the government has recently threatened him with new sanctions for illicit communications. If that's true, it could deepen the distrust between the United States and Pakistan, which are struggling to set aside their differences and cooperate in the battle against militant extremists in Afghanistan and Pakistan."
"5164"	"– You get what you pay for when it comes to health care in the US, according to a new report from the Commonwealth Fund. The think tank ranks the US dead last out of 11 industrialized nations for the quality of health care based on efficiency, equity, access to care, and outcomes, reports the Washington Post. The UK, which has a single-payer health care system, is first overall, while the US came in last or near-last in all three categories. The report looked at the health systems of Australia, Canada, France, Germany, the Netherlands, New Zealand, Norway, Sweden, Switzerland, and the UK. The US spent more per capita on health care than any other country but came in dead last when it came to outcomes, the Atlantic reports. The data for the report was collected before the full implementation of ObamaCare, which dramatically expanded health insurance, so it's possible that the US may rise in future rankings."
"5229"	"– A 1-year-old girl died Wednesday after being left in a car seat all day in a pickup truck parked at her family's home in East Nashville, reports the Washington Post. Police say the incident marks at least the seventh instance in which a child has died in a hot car this year, according to data from NoHeatStroke.org, which has been tracking child vehicular heat-stroke deaths since 1998. Matt Barker left home at 7:30am Wednesday with his two children, intending to take them to day care a few miles away, police say. He returned to his home in the East Nashville area about a half hour later and left a few minutes after that via a ride-share service for Nashville International Airport, where he flew out on a business trip. His wife, Jenny, left for her job in another vehicle thinking that both children were at the day care center. She went to the center in the evening and was told that Katera never had been dropped off. She called her husband and realized the child was still in the pickup truck. She found KaterA in the truck and began CPR until paramedics arrived. She was pronounced dead at Vanderbilt University Medical Center. The high yesterday was 89 degrees, which means the interior of the truck could've easily reached between 130-170 degrees, per WTVM. Police are not filing charges at this time."
"5697"	"– Passengers aboard a United Airlines flight from Hong Kong to Newark Liberty International Airport say they restrained a ""paranoid"" passenger who screamed about being poisoned by the FBI and wanted the flight to be diverted to Canada. Passengers say the man, who was restrained by other passengers and a flight attendant, started screaming about nine hours into the 15-hour flight, the AP reports. ""He was clearly not stable,"" says passenger Jacques Roizen, who helped wrestle the man to the floor and sat in the same row as him after he was restrained. The FBI was waiting for the flight when it landed, and the man was taken into custody. The man's name has not been released, but passengers describe him as American. Passenger Peter Jones says the man called out what he said was his name, his birthdate, and his Social Security number several times and said he worked for the US Embassy in Abu Dhabi. Jones said the man claimed to have information about Edward Snowden, a former US government contractor who leaked a once-secret National Security Agency surveillance program two weeks ago. Roizen says he and another passenger sat by the man for the remaining six hours trying to calm him by talking about their families, Father's Day, and their children. After a passenger told him his actions had scared the children, ""he started crying because he said, 'I don't want to hurt the children.' He asked both of us to put him under arrest, asked us to read him his rights."""
"6078"	"– With polls showing Donald Trump's lead in the Rust Belt shrinking, the New York Times reports that Republicans may be forced to decide in the next few days whether to distance themselves from their nominee. The Times spoke to a dozen strategists from both parties, who say Trump's support has plunged across the swing-state map over the last 10 days, wiping out his recovery from September and threatening to undo weeks of Republican gains in the battle for control of Congress. Trump has already slipped perceptibly in public polls, trailing widely this week in Pennsylvania and by smaller margins in Florida and North Carolina—three states he cannot afford to lose. Politico, meanwhile, reports that Trump's hopes for victory are not much different from Mitt Romney's four years ago, or what Jeb Bush's or Marco Rubio's might have been: a narrow path that relies on success out West, a new national bellwether marked by a growing Hispanic population. “The path to 270 goes through all the same states as it did in 2012 and 2008,” says Katie Packer, who was Romney’s deputy campaign manager in 2008. ""Michigan, Wisconsin, and Pennsylvania aren't really even swing states. The math still comes down to suburban women and Latino voters.”"
"6140"	"– Forget passwords. A new study out of Binghamton University in New York suggests that your brainwaves could be used to verify your identity, reports Tech Times. In the study, published in the journal Neurocomputing, researchers observed and recorded the brain signals of 45 volunteers as they read a list of 75 acronyms, such as FBI and DVD. The reaction of the region of the brain associated with reading and recognizing words was different for each acronym and unique to each volunteer. The difference was so significant that a computer was able to identify each volunteer with 94% accuracy. The results were also stable over time, with identification possible after a lag of up to six months. Sarah Laszlo, co-author of ""Brainprint,"" says that brain biometrics are appealing because they are cancellable and cannot be stolen by malicious means the way a finger or retina can. ""If someone's fingerprint is stolen, that person can't just grow a new finger to replace the compromised fingerprint—the fingerprint for that person is compromised forever,"" she says. ""Fingerprints are 'non-cancellable.' Brainprints, on the other hand, are potentially cancellable. So, in the unlikely event that attackers were actually able to steal a brainprint from an authorized user, the authorized user could then 'reset' their brainprint."" The researchers don't see brainprints as a potential replacement for passwords for low security applications in the near future—after all, who wants to hook themselves up to an electroencephalograph (EEG) just to log into their email—but they do see the technology having potential in high security environments. ""We tend to see the applications of this system as being more along the lines of high-security physical locations, like the Pentagon or Air Force Labs, where there aren't that many users that are authorized to enter, and those users don't need to constantly be authorizing the way that a consumer might need to authorize into their phone or computer,"" Zhanpeng Jin says in a press release."
