doc_index,rouge1_f1,rouge1_p,rouge1_r,rouge2_f1,rouge2_p,rouge2_r,rougeL_f1,rougeL_p,rougeL_r,bleu,meteor,bertscore_f1,bertscore_p,bertscore_r,generated_summary,reference_summary
0,0.26666666666666666,0.3793103448275862,0.205607476635514,0.07526881720430108,0.1044776119402985,0.058823529411764705,0.1243523316062176,0.17142857142857143,0.0975609756097561,0.03277812819638954,0.21240348384738506,0.8575741052627563,0.8812341094017029,0.8351513147354126,"A Republican candidate, Ed Charamut, in Connecticut sent a campaign mailer depicting his Democratic opponent, Matt Lesser (Jewish), with altered eyes and holding fistfuls of hundred-dollar bills. The mailer, sent to homes in Middletown, Connecticut, was described as anti-Semitic. Campaign treasurer Allan Greenspan admitted to altering Lesser’s image. The Anti-Defamation League and Jewish groups condemned the mailer, describing it as an age-old anti-Semitic trope. The Republican Party initially defended the ad but later issued an apology, acknowledging it as offensive and raising anti-Semitic tropes. The incident reflects broader concerns about rising anti-Semitism in the U.S., with similar incidents reported across other states.","– Just days after the slaying of 11 Jewish congregants at a Pittsburgh synagogue, a GOP candidate for a state Senate seat in Connecticut is accused of sending a mailer using an ""age-old anti-Semitic trope."" The ad sent out by Ed Charamut includes what the Washington Post calls a ""money-grubbing"" picture (here) of smiling opponent Matt Lesser, clutching $100 bills with a ""crazed look in his eyes."" Lesser says the original image of him was altered to add the cash and exaggerate his expression; Charamut's Jewish campaign treasurer concedes Lesser's eyes were tweaked ""to look bigger and greedy,"" per Raw Story. Lesser's reaction when he first heard about the ad: It was ""some sort of mistake or misunderstanding."" ""I did not believe them, because we live in America,"" he adds. Others say the mailer was offensive, maybe intentionally so. But the 60-year-old GOP candidate insists the mailer was simply meant to draw a ""sharp contrast"" between his 35-year-old opponent's stance on tax policy and his own. ""I reject hate speech in all its forms,"" he says. Other Republicans back him, with state Senate Chair JR Romano telling the Hartford Courant the hubbub is all ""false outrage"" perpetuated by Dems. ""If you criticize any Democrat for failures and their record, they run into this shield that you're a racist."" Romano later walked back those statements, agreeing the mailer was ""offensive"" after having ""conversations with Jewish friends."" (Mike Pence is facing his own controversy.)"
1,0.2698412698412698,0.2833333333333333,0.25757575757575757,0.013986013986013988,0.014705882352941176,0.013333333333333334,0.136986301369863,0.14285714285714285,0.13157894736842105,0.05906309366778732,0.2649178482758621,0.8686681985855103,0.8747819066047668,0.8626393675804138,"Activists from Greenpeace scaled the Shard, London's tallest building at 310 meters, to protest against oil and gas drilling in the Arctic. Six women climbers, all from different countries, were arrested on suspicion of aggravated trespass. The protest aimed to highlight Shell's Arctic drilling plans and included unfurling a ""Save the Arctic"" flag at the summit. The climb took 16 hours, starting early in the morning and ending around 7:10 PM. Greenpeace chose the Shard because it is visible from Shell's London headquarters and its design resembles an ice shard. Shell defended their operations, stating that Arctic drilling is not new and that they have extensive experience in the region. The Shard's viewing platform was closed for safety reasons, but offices and restaurants remained open.","– Greenpeace is taking its case against Arctic oil drilling to the skies. Demonstrators are climbing the tallest building in western Europe, London's 87-story Shard, to make their point. Safety personnel and police are watching after the team of six women began ascending the building via the roof of a nearby subway station. They're reportedly ""free-climbing"" the building; part of its exterior is built like a ladder, the BBC reports. The Shard is between the three headquarters of Shell, Greenpeace says, and it resembles a piece of ice. At the top, says a climber, ""we'll try to hang a huge art installation ... that will make Shell think twice before sending their rigs into the Arctic."" The climbers, who have been live-streaming the event via head-mounted cameras, are all highly trained, says a rep. Monitoring police say they got a call about the protest at 4:20 this morning, the Guardian reports."
2,0.2033898305084746,0.2465753424657534,0.17307692307692307,0.04807692307692307,0.054945054945054944,0.042735042735042736,0.13333333333333333,0.15217391304347827,0.11864406779661017,0.041965120774673646,0.22494684400617743,0.8591019511222839,0.877025842666626,0.8418960571289062,"A security robot named K5, manufactured by Knightscope and used for patrolling in Mountain View, California, was knocked over by a 41-year-old man named Jason Sylvain. Sylvain, who was allegedly drunk, reportedly attempted to test the robot but ended up toppling it. The K5 robot, weighing 300 pounds, suffered minor scratches but was back on patrol after the incident. Sylvain was arrested for prowling and public intoxication.

The incident highlights the growing presence of autonomous security robots in public spaces. Last year, a similar robot from Knightscope had knocked over a 16-month-old child at a Silicon Valley shopping center, leading to bruising but no broken bones. Knightscope claims their robots can detect anomalies and alert security guards, though they are not armed.

The reaction to the incident was mixed. Some found it humorous, while others suggested that such incidents could lead to new laws or changes in how robots are programmed to respond. The case also raises questions about public behavior towards new technologies and the need for responsible interaction with them.","– A crime-fighting robot wasn't able to prevent a drunk guy from attacking it—but it did get the last laugh, er, whistle, according to police. Authorities say Jason Sylvain, 41, knocked down the 5-foot-tall, 300-pound Knightscope K5 security droid—which is equipped with a camera, per Ars Technica, and whistles and spins in a circle when it detects a crime—as it was patrolling Knightscope's parking lot in Mountain View, Calif., last Thursday. The robot, which suffered some scratches, was the clear loser in the fight, though it was a rather one-sided affair since K5 doesn't have any arms. The droid got its revenge, however, by sounding its alarms, reports CNET. Knightscope rep Stacy Dean Stephens says Sylvain tried to flee when the alarms sounded, but was restrained until police arrived. A police rep says he was charged with prowling and public intoxication after officers noted he “appeared confused, had red, glassy eyes and a strong odor of alcohol emitted from him."" According to Stephens, ""the robot did exactly as it was supposed to do—the 'assault' was detected and immediately reported."" The fact that Sylvain was arrested is ""a testament to the technology,"" the company adds, per ABC 7. While the Verge wonders if this marks the start of ""robo-human wars,"" Knightscope notes K5 recovered quickly and is back on patrol. (A robot with ""no function"" roams a desert.)"
3,0.27999999999999997,0.39622641509433965,0.21649484536082475,0.0903954802259887,0.12698412698412698,0.07017543859649122,0.17486338797814208,0.24615384615384617,0.13559322033898305,0.06056123996418564,0.24844720491115935,0.8737071752548218,0.8922135829925537,0.8559529781341553,"A new study by the U.S. Geological Survey reveals that a major earthquake is overdue on a 100-mile stretch of the San Andreas Fault from Antelope Valley to Tejon Pass. Researchers analyzed 10 earthquakes that occurred over the last 1,200 years and found that major quakes happen on average every 100 years in the Grapevine area. It has been 160 years since the last major quake, leading experts to warn that a significant earthquake is likely. Most of these quakes were magnitude 7.5 or larger, which could cause extensive damage to the region. While the new information should not cause panic, it does emphasize the need for preparedness. The study focuses on an area near Frazier Mountain at Tejon Pass, which had not been studied in detail before. The findings highlight the importance of preparing for potential large earthquakes along this section of the fault.","– Californians may expect the earth to move, but a new study of the San Andreas Fault suggests that the LA area is overdue for a Big One. The study by the US Geological Survey of a section of the fault in the Grapevine area found that major quakes strike there on average once every 100 years—and the last one hit 160 years ago, per a USGS release. Only two people were killed in the old quake, but a similar one today would surely have a much higher toll, while also damaging aqueducts, the electric grid, and highways. In fact, ""it would impact our ability to be a world-class city,"" a USGS geologist tells the Los Angeles Times. Geologists examined a previously unstudied area of the fault, close to the juncture of Los Angeles, Ventura, and Kern counties. They dug down deep to get 1,200 years of data, finding evidence of 10 major earthquakes that happened at irregular intervals, making the timing of the next one difficult to predict. Some intervals were as short as 20 years, some as long as 200 years. The quakes were generally in the 7 to 7.5 range in magnitude, though the 1857 quake was 7.9, significantly larger. A CalTech seismologist says that's actually good news because the quake released a lot of energy, which could explain why there's been such a relatively long lull. Still, ""the stress is building up along the San Andreas and a large earthquake is inevitable,"" another geologist tells KABC-TV."
4,0.26373626373626374,0.3380281690140845,0.21621621621621623,0.03755868544600939,0.04597701149425287,0.031746031746031744,0.1559633027522936,0.18888888888888888,0.1328125,0.036334559941187956,0.2415443597444618,0.8512680530548096,0.8665856719017029,0.8364824056625366,"**Summary:**

Kellogg Co., citing economic and social deterioration in Venezuela, announced the closure of its operations there, affecting 400 workers. The company's exit follows similar actions by other multinational corporations like General Mills, Procter & Gamble, and Kimberly-Clark due to Venezuela's economic crisis, including hyperinflation and strict price controls.

Venezuelan President Nicolas Maduro seized the Kimberly-Clark factory, stating it would be operated by workers. He also threatened legal action against Kellogg's business leaders for exiting the country, which he deemed unconstitutional. Maduro attributes Venezuela’s crisis to an ""economic war"" orchestrated by the U.S., business elites, and coup plotters.

The move by Kellogg highlights the challenges multinational companies face in Venezuela, including difficulties obtaining raw materials and operating under government-imposed price controls. Other companies have either abandoned or sold their assets in the country, with some having their operations taken over by the government.","– The Kellogg Company decided it had had enough of Venezuela—but Venezuela apparently hasn't had enough of Kellogg. Pointing fingers at the ""deterioration"" of the country's economic situation, the US cereal-maker announced Tuesday it was closing shop there, leaving 400 workers fresh out of a job, reports the Wall Street Journal. But soon after those employees walked into that news at the Kellogg factory in Maracay, Labor Minister Nestor Ovalles showed up to assure them the government was working to ""ensure their rights and employment,"" with President Nicolas Maduro calling the closure ""absolutely unconstitutional and illegal,"" the BBC reports. The government's remedy: It has seized the Maracay plant. ""I've taken the decision to deliver the company to the workers in order that they can continue producing for the people,"" Maduro told supporters in Carabobo. Kellogg isn't the first company to ditch the beleaguered nation: Per Reuters, Clorox, General Mills, General Motors, and Kimberly-Clark have also bolted, with similar factory seizures. ""The government maintains a noose around the private sector,"" leading to defections like Kellogg's, a local business chamber chief tells the Journal. ""If there's no change in economic policies, there will be more closures."" Kellogg, which has been in Venezuela for nearly 60 years and produces nearly all the nation's breakfast cereal, says it hopes to return there ""as soon as the conditions of the country allow it"" and insists its brands shouldn't be sold ""without [its] expressed authorization."" (Trump has banned Americans from using Venezuelan ""petro"" currency.)"
5,0.21965317919075142,0.34545454545454546,0.16101694915254236,0.08108108108108107,0.12,0.061224489795918366,0.19409282700421943,0.2875,0.1464968152866242,0.03362402279188139,0.2545210238551505,0.865075409412384,0.8882888555526733,0.8430444002151489,"Sudanese President Omar al-Bashir, who faces international charges of war crimes and genocide, left South Africa before a court could order his arrest. The South African High Court had ruled that al-Bashir must stay in the country to face potential arrest by the International Criminal Court (ICC), but he managed to leave before the ruling could be enforced. The Southern Africa Litigation Centre, which had petitioned for his arrest, expressed disappointment that the government allowed him to leave. The ICC accuses al-Bashir of crimes in Darfur, where the Sudanese government has been accused of repression and ethnic cleansing. South Africa's decision to allow al-Bashir to leave has been criticized by the U.N., the ICC, and some South African politicians. The incident highlights ongoing tensions between international justice efforts and national sovereignty in Africa.","– For six years and counting, Omar al-Bashir has evaded arrest and a trial at the International Criminal Court on genocide and crimes against humanity charges stemming from the Darfur conflict, and it appears he may have slipped through the cracks again—this time in South Africa. The Sudanese leader was visiting for a two-day African Union summit, and a South Africa High Court judge yesterday ordered al-Bashir to stay in the country while the court decided whether he should be arrested and handed over to the ICC, notes CNN; the judge also ordered all ports of exit and entry to stop al-Bashir from leaving. But before the hearing on his arrest could be completed, al-Bashir's private jet reportedly departed a Pretoria military airport, per the New York Times, and Sudan's minister of information told Reuters that his boss would arrive back in Khartoum at around 6:30pm local time. This apparent escape is just the latest in the ICC's frustrating attempt to get someone, anyone, to turn al-Bashir over. Since the first indictment against him in 2009, the Sudanese president has ""danced around the arrest warrants,"" per NBC News, traveling to countries where he doesn't fear arrest and avoiding all others. When the ICC got wind he'd be heading to South Africa, it put out a statement imploring South Africa to ""spare no effort in ensuring the execution of the arrest warrants."" UN Secretary-General Ban Ki-moon reminded ICC member countries today that, as members, they have an obligation to carry out those warrants. But, as NBC notes, many African nations haven't been willing to go the extra mile for the ICC because they feel Africa has been unfairly targeted by the court at The Hague. Sudan's state news agency says there will be a press conference after al-Bashir returns, per CNN."
6,0.2512562814070351,0.25773195876288657,0.24509803921568626,0.06926406926406926,0.07017543859649122,0.06837606837606838,0.14345991561181434,0.1440677966101695,0.14285714285714285,0.07265370541642442,0.2943649937762826,0.8544055223464966,0.8613395690917969,0.847582221031189,"Budweiser's ""Brotherhood"" ad, featuring a man raising and reuniting with his baby Clydesdale, has become the No. 3 most-shared Super Bowl ad of all time with over 1.5 million shares, primarily on Facebook. The ad ranks behind Volkswagen's ""The Force"" (No. 1) and Budweiser's own ""9/11"" ad (No. 2). The touching scenes include the horse's first steps, the owner sleeping in the stable, and the horse running alongside his car set to Fleetwood Mac's ""Landslide.""

Dodge aired a compelling ad late in the game, featuring still photos and a speech by conservative radio broadcaster Paul Harvey. The ad was similar to a 2011 YouTube video by Farms.com, suggesting that better content is often found online.

Coca-Cola attempted a dual TV and online campaign called ""Coke Chase,"" where viewers could vote for teams competing to win a giant Coke bottle. While the online campaign faced some technical issues, it still garnered significant engagement with over 1.3 million visitors and nearly a million votes. The TV ad was viewed more than 2.5 million times, outperforming the Polar Bear campaign's views from the previous year.

Overall, while Super Bowl ads have shown mixed success in terms of engagement and innovation, the ""Brotherhood"" ad stands out for its emotional impact.","– People are still talking about the ads that aired during last night's Super Bowl. Here are some of the stories that caught our eye: Dodge's show-stopping ""God Made a Farmer"" looked awfully familiar to David Haglund at Slate: It's nearly identical to a Farms.com ad that showed up on YouTube in 2011, albeit with higher production values. It turns out the similarity is no coincidence—Chrysler is working with Farms.com to raise money for the Future Farmers of America. But Haglund can't help pointing out that this is one reason Super Bowl ads have become less compelling: ""Better stuff gets uploaded to YouTube every day."" Coca Cola's ambitious ""Coke Chase"" campaign, which urged viewers to rush to their computers to influence the outcome of a drag race between some cowboys, Mad Max-style road warriors, and pink-clad Show Girls, appears to have been a disappointment, Mashable reports; only 1.3 million people visited CokeChase.com, down from 9 million who checked out Coke's polar bear-themed site last year. But one ad that was an unqualified success was Budweiser's ""Brotherhood"" ad about a man's love for a Clydesdale he'd raised up from a baby. By this morning, the ad had become the third-most shared ad of all time, behind Volkswagen's mini-Vader ad from 2011, and Budweiser's own 9/11 ad. Click for more on our favorite ads—and pretty much everyone's least favorite."
7,0.30769230769230765,0.3373493975903614,0.2828282828282828,0.07582938388625592,0.08602150537634409,0.06779661016949153,0.14746543778801843,0.16842105263157894,0.13114754098360656,0.05116446256517304,0.2849957301356071,0.8607797026634216,0.8728103637695312,0.8490760922431946,"The Millennium Tower in San Francisco, a 58-story luxury residential building that opened in 2009, is sinking and tilting due to foundation issues. Despite being built on a dense sand layer rather than bedrock, the tower has sunk 17 inches and tilted 14 inches. The problem was exacerbated by nearby construction, particularly the Transbay Transit Center and Salesforce Tower.

Residents, including former 49ers quarterback Joe Montana, have filed lawsuits against the developers and city officials. The building passed a July safety review but some residents fear it may not withstand an earthquake. Engineers propose solutions like drilling new piles to bedrock, but the cost and liability are still being negotiated.

The sinking has led to significant financial losses for some residents, with one couple losing $3-4 million. The city of San Francisco has also reassessed the property values, reducing taxes for some owners by about $3,000. The ongoing saga highlights the risks of rapid urban development and the challenges in retrofitting modern buildings to address unforeseen structural issues.","– San Francisco's 58-story Millennium Tower has sunk 17 inches and tilted 14 inches to the northwest since building started in 2006, reports 60 Minutes. It's a well-publicized fact thanks to numerous lawsuits from residents, including Joe Montana. Yet it makes the latest sign of its flaws no less ""breathtaking,"" per the San Francisco Chronicle. Footage aired Sunday on 60 Minutes shows numerous cracks in the skyscraper's basement, accompanied by stress gauges that measure their growth. Though Curbed notes the tower passed a review of its seismic integrity in July, ""there's enough of them, a spiderweb of cracks, that you have [to] be concerned about what's going on underneath,"" says Jerry Dodson, an engineer and lawyer who owns a condo on the Millennium Tower's 42nd floor. Since developer Millennium Partners notified residents of the faults in 2016, some say they've moved out, selling their condos at losses in the millions; others are still waiting for a fix. The most likely one would involve securing the tower, built on a foundation 80 feet deep in sand, into bedrock, per the Chronicle. But it's not clear who would hand over up to $150 million necessary for the fix. In addition to lawsuits from residents, Millennium Partners is currently involved in litigation with the nearby Transbay Terminal, which it blames for causing the land beneath the tower to sink. Transbay officials say the tower—which is sinking 1.5 to 2 inches per year, according to one estimate—had already sunk 10 inches before construction on the terminal began, per 60 Minutes."
8,0.3100775193798449,0.273972602739726,0.35714285714285715,0.11320754716981134,0.09782608695652174,0.13432835820895522,0.1871345029239766,0.15841584158415842,0.22857142857142856,0.059156115810584116,0.4102176139987335,0.8763090372085571,0.8769909143447876,0.8756282329559326,"Abdul Qadeer Khan, the founder of Pakistan's nuclear program, claims North Korea paid kickbacks to senior Pakistani military officials in exchange for sensitive nuclear technology. Khan released a 1998 letter purportedly signed by North Korean official Jon Byong Ho, which suggests North Korea paid over $3.5 million to two Pakistani military officials: Jehangir Karamat and Zulfiqar Khan. The letter, dated July 15, 1998, and marked ""Secret,"" requests the transfer of documents and components to North Korea. Khan's claims are disputed by Karamat, who calls the letter a fabrication.

The authenticity of the documents is in question. While some U.S. intelligence officials believe the signature on the letter appears genuine and the details are consistent with known events, others remain skeptical. If true, this revelation could strain U.S.-Pakistan relations, which are crucial for combating militant groups in Afghanistan and Pakistan. The documents also suggest that some high-level Pakistani military officials were aware of Khan's covert nuclear sales to other countries, including North Korea.","– Pakistani military officials took more than $3.5 million in kickbacks from North Korea in exchange for essential nuclear weapons technology, according to Abdul Qadir Khan, the founder of Pakistan's nuclear weapons program. Khan has given documents detailing the transaction, which would have taken place in the late 1990s, to Simon Henderson at the Washington Institute for Near East Policy, Henderson tells the AP. ""He gave it to me because he regarded it as showing that the story, the perception that he had been a rogue operator was false,"" Henderson explains. Khan has also released what he says is a letter sent from North Korea to him in 1998, which describes the deal in English. Western intelligence officials tell the Washington Post they're convinced the letter is real, and that it ""makes a lot of sense"" given what they already knew. Pakistani officials, however, say it's ""clearly a fabrication."" You can see the letter here."
9,0.33870967741935487,0.39622641509433965,0.29577464788732394,0.05555555555555556,0.0625,0.05,0.19736842105263158,0.22727272727272727,0.1744186046511628,0.052032369120923294,0.2856824088965185,0.8861667513847351,0.8970047831535339,0.8755873441696167,"The United States ranks last in the quality of its healthcare system when compared to 10 other industrialized nations, according to a new report by the Commonwealth Fund. Despite spending more per capita on healthcare ($8,508) than any other country (Norway spends $5,669), the U.S. ranks poorly in health access, efficiency, and equity. The report highlights several issues including a shortage of primary care physicians, lack of access to healthcare for the poor, and high infant mortality rates. The U.K., which spends $3,405 per person on healthcare and ranks first overall, has made significant improvements through systematic attention to resource allocation. The Commonwealth Fund suggests that while the Affordable Care Act (Obamacare) has expanded health insurance, more comprehensive reforms are needed to address these systemic issues.","– Americans are paying a lot more money for a health care system less effective than those of other countries, according to a report from the Commonwealth Fund think tank that ranks the US dead last out of 11 industrialized countries once again. The US was last overall and came in at the bottom in categories including efficiency and equity, reports the Washington Post, which notes that America's per capita health care cost was $8,508—way ahead of Norway, which has the second most expensive health care system at $5,669. The UK ranked first overall while spending $3,405 a head. Switzerland was ranked second. ""Although the US spends more on health care than any other country and has the highest proportion of specialist physicians, survey findings indicate that from the patients' perspective, and based on outcome indicators, the performance of American health care is severely lacking,"" the report's authors wrote. The US also came in last in the group's reports from 2010, 2007, 2006, and 2004. The data for the report was collected before ObamaCare took effect, the Atlantic notes, so there is a chance that the expanded access to health insurance could finally shift the US out of last place next time around."
