"row_id"	"generated_summary"
"425"	"Campaign mailer sent by GOP state Senate candidate Ed Charamut. Image of Democrat Matt Lesser, who is Jewish, with large, beady eyes, holding fistfuls of hundred-dollar bills. “A new line has been crossed,” said Rep. Lesser."
"1639"	"Greenpeace activists scale the Shard, Europe's tallest skyscraper, as a protest against oil and gas drilling in the Arctic. The activists reached the top of the building at around 7.10pm. Police said all six had been arrested on suspicion of aggravated trespass. Greenpeace said the Shard was chosen because it was in sight of the three London bases of the energy giant Shell."
"1739"	"A 300-pound security robot was knocked over by a drunk man, police say. The robot was a K5 security robot, made by a company called Knightscope. Knightscope says the robot took it all in its stride and is now back on patrol. A human, 41-year-old Jason Sylvain, was charged with being drunk in public."
"1952"	"Geologists studied the area along the Grapevine near Frazier Park and found earthquakes happen there, on average, every 100 years. Experts said it's been 160 years since the last major quake. Researchers said the new information shouldn't be a reason to panic, but to prepare."
"2082"	"Kellogg Co. cites the “deterioration” of a country in the midst of an economic meltdown. Kellogg produced the majority of the breakfast cereal consumed by Venezuelans. The firm had said it was halting operations as it was unable to obtain raw materials. But the labour minister said on Monday that the factory closure was illegal."
"2847"	"Sudanese President Omar al-Bashir is accused of war crimes, crimes against humanity and genocide. A South African High Court is considering whether to order his arrest. A human rights group says it is disappointed that the government allowed him to leave before the ruling. The Sudanese leader was in South Africa attending a summit of African Union leaders."
"3003"	"Budweiser's ""Brotherhood"" ad is now the No. 3 most-shared Super Bowl ad of all time. The spot features a horse breeder who raises his foal to become one of the beer's famous Clydesdale horses. Coca Cola tried an ambitious plan to run a Super Bowl marketing campaign during the game."
"4558"	"The Millennium Tower opened in 2009 as the tallest residential building west of the Mississippi. The building has, quite literally, one fundamental problem: it's sinking into mud and tilting toward its neighbors. Engineers for the tower's developer have tracked sinking here since the day the foundation was poured in 2006."
"4679"	"Abdul Qadeer Khan says he received $3 million in payments from North Korea. He says the money was used to give him access to sensitive nuclear technology. He has released a letter he says is from a North Korean official describing the deal. Pakistani officials, including those named as recipients of the cash, have called the letter a fake."
"5164"	"The U.S. healthcare system is the most expensive in the world. But when it comes to health outcomes, it performs worse than 11 other similar industrialized nations. The United Kingdom, which has a single-payer healthcare system, ranks first. The data for the 2014 report was collected before the Affordable Care Act went into full effect."
"5229"	"1-year-old Katera Barker of Nashville, Tenn., was found in the back of a pickup truck. Her father had dropped her off at day care but forgot to drop her off. He returned home and left for the airport on a business trip. The girl's death is the seventh so far this year."
"5697"	"Passengers on United flight 116 bound for the U.S. from Hong Kong were finally able to leave a Newark Liberty International Airport terminal late this afternoon. A flier was taken into custody and hospitalized after allegedly demanding that the plane be diverted to Canada. An official with the New York Joint Terrorism Task Force said the man -- identified as Daniel Morgan Perry and reportedly in his 30s and American -- had been transported to Newark's University Hospital for observation."
"6078"	"Donald J. Trump’s support has plunged across the swing-state map over the last 10 days. Republicans must decide in the next few days, rather than weeks, whether to seek distance from his wobbly campaign. Trump has already slipped perceptibly in public polls, trailing widely this week in Pennsylvania and by smaller margins in Florida and North Carolina."
"6140"	"Researchers at Binghampton University in New York recorded the brainwaves of 45 volunteers as they read a list of acronyms. The reactions – or ""brainprints"" – were different enough between respondents to allow a computer system to identify each volunteer with an accuracy of 94 percent. These results were also stable over time, with identification possible after a lag of up to six months."
"6338"	"Dylann Roof, 21, was arrested on Thursday on suspicion of having fatally shot nine people. Roof's uncle recalled telling his sister, the suspect's mother, several years ago that he was worried about Roof. ""He didn't like that, and me and him kind of drifted apart,"" the uncle said."
"6619"	"Archaeological excavations at the Nazi death camp Treblinka have revealed new mass graves. Brick walls and foundations from the gas chambers remain, as do massive amounts of human bone. ""Treblinka: Hitler's Killing Machine"" will air Saturday (March 29) on the Smithsonian Channel."
"6698"	"Sen. Charles E. Schumer (D-N.Y.) called for bipartisan action to ""deter and defend against further cyber attacks"" The CIA shared its latest assessment with key senators in a closed-door briefing on Capitol Hill last week. Agency briefers told the senators it was now “quite clear” that electing Trump was Russia’s goal, officials said."
"6717"	"Three students at a Honolulu preschool drank Pine-Sol instead of apple juice. Paramedics evaluated three girls, ages 4 and 5, who drank a small amount. The children were okay, and did not require treatment, officials said. It's not clear how the mistake was made, but some parents say the school has taken all necessary precautions."
